sp,eng
inv.h,inv.h
globals.h,globals.h
engine.h,engine.h
IDATA.H,IDATA.H
Destroy INVENTORY system\n,Destroy INVENTORY system\n
Destroy INVENTORY system\n,Destroy INVENTORY system\n
Adding numObject %i to inventory array position %i\n,Adding numObject %i to inventory array position %i\n
No me caben mas objetos\n en el inventario...,I can't fit any more items\n in the inventory...
%i,%i
Hoja respuestas,Answer sheet
Alfombrilla,CARPET
Cerebro Negro,Black Brain
Reloj Negro,Black Watch
Libro,Book
Hojas libro,Book sheets
Cerebro,Brain
Notas,Grades
Casete,Compact Cassette
Moneda,Currency
Cartucho vac¡o,Empty cartridge
Carpeta,Folder
Cartucho lleno,Cartridge full
Carpeta llena,folder is full
Gel,Gel
Guitarra,Guitar
Pantalones,Trousers
Llave,Key
Escalpelo,Scalpel
Dinero,Money
Avena,Oats
Cartucho vac¡o,Empty cartridge
Cartucho lleno,Cartridge full
Bote pintura,Paint pot
Fotocopia,Photocopy
Fotocopia,Photocopy
Horario,Schedule
Hoja,Sheet
Camiseta,T-shirt
Esp tula,Esp tula
Reloj,Watch
Camiseta,T-shirt
Avena viscosa,Viscous oats
Son las respuestas del examen de matem ticas,They are the answers to the mathematics exam
Es la alfombrilla del ba¤o,It is the mat of the bathroom
Un cerebro pintado de negro,A brain painted black
El reloj de cocina en forma de estrella pintado de negro,The star-shaped kitchen clock painted black
A£n gotea la pintura,A£n drips paint
\"Del deporte tambin se sale\",\"You also get out of the sport\"
Cap¡tulo 1: La pereza es tu aliada,Chapter 1: Laziness is your ally
Cap¡tulo 2: Cuida tus rodillas,Chapter 2: Take Care of Your Knees
Cap¡tulo 3: Enfermedades deportivas,Chapter 3: Sports Diseases
Todo aquello que supone un esfuerzo es susceptible de aplazarlo,Everything that involves an effort can be postponed
Recientes estudios demuestran la relaci¢n entre hacer deporte y el deterioro de tus rodillas,Recent studies show the relationship between playing sports and the deterioration of your knees
La mejor manera de librarse del deporte es con una enfermedad que te impida realizarla,The best way to get rid of sport is with an illness that prevents you from doing it
Deja para ma¤ana lo que no quieras hacer hoy,Leave for tomorrow what you don't want to do today
Un cuerpo sano es un cuerpo descansado,A healthy body is a rested body
Las enfermedades de la piel pueden presentar una textura grumosa y en algunos casos viscosa,Skin diseases can have a lumpy and in some cases viscous texture
He arrancado las hojas del libro que me parec¡an interesantes,I have torn out the leaves of the book that I found interesting
Son las hojas arrancadas del libro de deporte,They are the leaves torn from the sports book
