sp;eng
allegro.h;allegro.h
engine.h;engine.h
game.h;game.h
rooms.h;rooms.h
inv.h;inv.h
player.h;player.h
utils.h;utils.h
GDATA.H;GDATA.H
IDATA.H;IDATA.H
SDATA.H;SDATA.H
MDATA.H;MDATA.H
WARCOM SOFT 2025;WARCOM SOFT 2025
Corr¡a el a¤o 1995 en una ciudad cualquiera;Run the year 1995 in any city
Nuestro protagonista pasea despreocupado\npor la calle como cualquier otro d¡a;Our protagonist walks carefree\ nin the street like any other day
Nada parece importarle en la vida hasta\nque una noticia llama poderosamente su atenci¢n;Nothing seems to matter to you in life until\ na news item powerfully calls your attention¢n
(SIN BLANCA);(NO MONEY)
Haz click para comenzar;Click to start
JUEGO EN PAUSA;GAME IS PAUSED
ALLEGRO_TRACE;ALLEGRO_TRACE
GAME.LOG;GAME.LOG
Outcash (Sin blanca) version %i.%i\n;Outcash version %i.%i\n
Initializing systems and modules\n;Initializing systems and modules\n
Error iniciando el modulo timer;Error starting timer module
Error iniciando el mouse;Error starting mouse
Error iniciando el teclado;Error starting keyboard
Error iniciando el sonido;Error starting sound
Error seteando modo grafico;Error thirsting graphic mode
All system and modules initialized\n;All system and modules initialized\n
X;X
Y;S
Player x;Player x
Player y;Player and
Script.step;Script.step
Loading game resources\n;Loading game resources\n
GDATA.DAT;GDATA.DAT
Archivo GDATA.DAT invalido o inexistente;Invalid or non-existent GDATA.DAT file
PDATA.DAT;PDATA.DAT
Archivo PDATA.DAT invalido o inexistente;Invalid or non-existent PDATA.DAT file
IDATA.DAT;IDATA.DAT
Archivo IDATA.DAT invalido o inexistente;Invalid or non-existent IDATA.DAT file
MDATA.DAT;MDATA.DAT
Archivo MDATA.DAT invalido o inexistente;Invalid or non-existent MDATA.DAT file
SDATA.DAT;SDATA.DAT
Archivo SDATA.DAT invalido o inexistente;Invalid or non-existent SDATA.DAT file
verdana8;verdana8
GDATA.DAT;GDATA.DAT
verdana8Bold;verdana8Bold
GDATA.DAT;GDATA.DAT
verdana9;verdana9
GDATA.DAT;GDATA.DAT
verdana9Bold;verdana9Bold
GDATA.DAT;GDATA.DAT
gameFont;gameFont
GDATA.DAT;GDATA.DAT
GDATA.DAT;GDATA.DAT
Error cargando fuente de texto;Error loading text font
Game resources loaded\n;Game resources loaded\n
Freeing game resources\n;Freeing game resources\n
Destroying data file index\n;Destroying data file index\n
Unloading data files\n;Unloading data files\n
Unloading fonts\n;Unloading fonts\n
Unload music data file object\n;Unload music data file object\n
Game resources free completed\n;Game resources free completed\n
Game initialized\n;Game initialized\n
midi pos %ld\n;midi pos %ld\n
