sp;eng
allegro.h;allegro.h
engine.h;engine.h
game.h;game.h
rooms.h;rooms.h
inv.h;inv.h
player.h;player.h
utils.h;utils.h
GDATA.H;GDATA.H
IDATA.H;IDATA.H
SDATA.H;SDATA.H
MDATA.H;MDATA.H
WARCOM SOFT 2025;WARCOM SOFT 2025
Long time ago, on the year 1995 in a vulgar city;Long time ago, on the year 1995 in a vulgar city
Our protagonist walks carefree\nin the street like any other day;Our protagonist walks carefree\nin the street like any other day
Nothing seems to worry him in life until\na poster powerfully calls his attention;Nothing seems to worry him in life until\na poster powerfully calls his attention
(SIN BLANCA);(SIN BLANCA)
Click to start;Click to start
GAME IS PAUSED;GAME IS PAUSED
ALLEGRO_TRACE;ALLEGRO_TRACE
GAME.LOG;GAME.LOG
Outcash version %i.%i\n;Outcash version %i.%i\n
Initializing systems and modules\n;Initializing systems and modules\n
Starting Out of Cash v%i.%i\n;Starting Out of Cash v%i.%i\n
Error iniciando el modulo timer;Error iniciando el modulo timer
Error iniciando el mouse;Error iniciando el mouse
Error iniciando el teclado;Error iniciando el teclado
Error iniciando el sonido;Error iniciando el sonido
All system and modules initialized\n;All system and modules initialized\n
Error seteando modo grafico;Error seteando modo grafico
X;X
Y;Y
Player x;Player x
Player y;Player y
Script.step;Script.step
FPS;FPS
Loading game resources\n;Loading game resources\n
\rLoading game resources.;\rLoading game resources.
GDATA.DAT;GDATA.DAT
Archivo GDATA.DAT invalido o inexistente;Archivo GDATA.DAT invalido o inexistente
\rLoading game resources..;\rLoading game resources..
PDATA.DAT;PDATA.DAT
Archivo PDATA.DAT invalido o inexistente;Archivo PDATA.DAT invalido o inexistente
\rLoading game resources...;\rLoading game resources...
IDATA.DAT;IDATA.DAT
Archivo IDATA.DAT invalido o inexistente;Archivo IDATA.DAT invalido o inexistente
\rLoading game resources....;\rLoading game resources....
MDATA.DAT;MDATA.DAT
Archivo MDATA.DAT invalido o inexistente;Archivo MDATA.DAT invalido o inexistente
\rLoading game resources.....;\rLoading game resources.....
SDATA.DAT;SDATA.DAT
Archivo SDATA.DAT invalido o inexistente;Archivo SDATA.DAT invalido o inexistente
\rLoading game resources......;\rLoading game resources......
verdana8;verdana8
GDATA.DAT;GDATA.DAT
verdana8Bold;verdana8Bold
GDATA.DAT;GDATA.DAT
verdana9;verdana9
GDATA.DAT;GDATA.DAT
verdana9Bold;verdana9Bold
GDATA.DAT;GDATA.DAT
gameFont;gameFont
GDATA.DAT;GDATA.DAT
\nGame resources loaded\n;\nGame resources loaded\n
Game resources loaded\n;Game resources loaded\n
Freeing game resources\n;Freeing game resources\n
