sp;eng
inv.h;inv.h
globals.h;globals.h
engine.h;engine.h
IDATA.H;IDATA.H
Destroy INVENTORY system\n;Destroy INVENTORY system\n
Destroy INVENTORY system\n;Destroy INVENTORY system\n
Adding numObject %i to inventory array position %i\n;Adding numObject %i to inventory array position %i\n
I can't fit any more items\n in the inventory...;I can't fit any more items\n in the inventory...
%i;%i
Answers sheet;Answers sheet
Bath Mat;Bath Mat
Black Brain;Black Brain
Black Clock;Black Clock
Book;Book
Book sheets;Book sheets
Brain;Brain
Califications;Califications
Cassette;Cassette
Quarter;Quarter
Empty cartridge;Empty cartridge
Folder;Folder
Cartridge full;Cartridge full
Folder llena;Folder llena
Gel;Gel
Guitar;Guitar
Jeans;Jeans
Key;Key
Scalpel;Scalpel
Money;Money
Oat;Oat
Empty cartridge;Empty cartridge
Cartridge full;Cartridge full
Paint bucket;Paint bucket
Photocopy;Photocopy
Photocopy;Photocopy
Schedule;Schedule
Sheet;Sheet
T-shirt;T-shirt
Spatula;Spatula
Clock;Clock
T-shirt;T-shirt
Oat viscosa;Oat viscosa
They are the answers to the mathematics exam;They are the answers to the mathematics exam
It's the mat of the bathroom;It's the mat of the bathroom
A black painted brain;A black painted brain
The star-shaped kitchen clock painted black;The star-shaped kitchen clock painted black
Drips paint yet;Drips paint yet
\"You also get out of the sport\";\"You also get out of the sport\"
Chapter 1: Laziness is your ally;Chapter 1: Laziness is your ally
Chapter 2: Take Care of Your Knees;Chapter 2: Take Care of Your Knees
Chapter 3: Sports Diseases;Chapter 3: Sports Diseases
Everything that involves an effort can be postponed;Everything that involves an effort can be postponed
Recent studies show the relationship between playing sports and the deterioration of your knees;Recent studies show the relationship between playing sports and the deterioration of your knees
The best way to get rid of sport is with an illness that prevents you from doing it;The best way to get rid of sport is with an illness that prevents you from doing it
Leave for tomorrow what you don't want to do today;Leave for tomorrow what you don't want to do today
A healthy body is a rested body;A healthy body is a rested body
Skin diseases can have a lumpy and in some cases viscous texture;Skin diseases can have a lumpy and in some cases viscous texture
I have torn out the sheets of the book that I found interesting;I have torn out the sheets of the book that I found interesting
They are the sheets torn from the sports book;They are the sheets torn from the sports book
Could this be the brain of some former student?;Could this be the brain of some former student?
It may be a good idea to paint the brain;It may be a good idea to paint the brain
But there's not enough paint on the cartridge to paint it;But there's not enough paint on the cartridge to paint it
These are my high school califications;These are my high school califications
I have approved everything!;I have approved everything!
He suspendido Mathematics, History and Physical Education;He failed Mathematics, History and Physical Education
But I've already passed:;But I've already passed:
Mathematics;Mathematics
History;History
e History;e History
History;History
and Physical Education;and Physical Education
Physical Education;Physical Education
